POST /partners/promo/my -> PUBLIC (Module: partner, Controller: PartnersController)
POST /v1/public/waitlist -> PUBLIC (Module: none, Controller: WaitlistController)
GET /whatsapp/automations/registry -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
GET /whatsapp/automations/statistics -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
GET /whatsapp/automations -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
GET /whatsapp/automations/:id -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
POST /whatsapp/automations -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
PATCH /whatsapp/automations/:id -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
DELETE /whatsapp/automations/:id -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
POST /whatsapp/automations/validate -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.AUTOMATION_MANAGE (Module: whatsapp, Controller: AutomationController)
POST /integrations/whatsapp/manual-sync -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.ONBOARD_SYNC (Module: whatsapp, Controller: WhatsAppOnboardingController)
GET /integrations/whatsapp/status -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_DASHBOARD (Module: whatsapp, Controller: WhatsAppOnboardingController)
GET /integrations/whatsapp/connect -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.ONBOARD_CONNECT (Module: whatsapp, Controller: WhatsAppOnboardingController)
GET /integrations/whatsapp/callback -> PUBLIC (Module: whatsapp, Controller: WhatsAppOnboardingController)
POST /integrations/whatsapp/disconnect -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.DISCONNECT (Module: whatsapp, Controller: WhatsAppOnboardingController)
GET /whatsapp/phone-numbers/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_NUMBERS (Module: whatsapp, Controller: WhatsAppPhoneNumbersController)
POST /whatsapp/phone-numbers/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.MANAGE_NUMBERS (Module: whatsapp, Controller: WhatsAppPhoneNumbersController)
PATCH /whatsapp/phone-numbers/:id -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.MANAGE_NUMBERS (Module: whatsapp, Controller: WhatsAppPhoneNumbersController)
DELETE /whatsapp/phone-numbers/:id -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.MANAGE_NUMBERS (Module: whatsapp, Controller: WhatsAppPhoneNumbersController)
GET /user/whatsapp-crm/check-status -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_DASHBOARD (Module: whatsapp, Controller: WhatsAppCrmController)
GET /whatsapp/debug/status/:tenantId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_LOGS (Module: system, Controller: WhatsAppDebugController)
GET /whatsapp/debug/templates/:tenantId -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_LOGS (Module: system, Controller: WhatsAppDebugController)
GET /whatsapp/settings/admin/modules -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: whatsapp, Controller: WhatsAppSettingsController)
GET /whatsapp/settings/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SETTINGS_VIEW (Module: whatsapp, Controller: WhatsAppSettingsController)
POST /whatsapp/settings/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SETTINGS_MANAGE (Module: whatsapp, Controller: WhatsAppSettingsController)
PATCH /whatsapp/settings/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SETTINGS_MANAGE (Module: whatsapp, Controller: WhatsAppSettingsController)
DELETE /whatsapp/settings/:moduleType -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SETTINGS_MANAGE (Module: whatsapp, Controller: WhatsAppSettingsController)
GET /user/whatsapp/dashboard -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_DASHBOARD (Module: whatsapp, Controller: WhatsAppUserController)
GET /user/whatsapp/numbers -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_NUMBERS (Module: whatsapp, Controller: WhatsAppUserController)
POST /user/whatsapp/send -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SEND (Module: whatsapp, Controller: WhatsAppUserController)
GET /user/whatsapp/logs -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.VIEW_LOGS (Module: whatsapp, Controller: WhatsAppUserController)
